time,open,high,low,close
2007-09-11T22:00:00Z,78.16,80.18,78.01,79.62
2007-09-12T22:00:00Z,79.65,80.2,79.19,79.94
2007-09-13T22:00:00Z,79.92,80.36,78.75,79.1
2007-09-16T22:00:00Z,78,79.67,77.3,79.66
2007-09-17T22:00:00Z,79.63,81.11,78.92,80.87
2007-09-18T22:00:00Z,80.98,81.19,79.78,80.63
2007-09-19T22:00:00Z,80.52,81.92,80.26,81.71
2007-09-20T22:00:00Z,81.78,82.4,80.55,81.3
2007-09-23T22:00:00Z,81.36,81.6,80.37,80.67
2007-09-24T22:00:00Z,80.61,80.62,78.96,79.35
2007-09-25T22:00:00Z,79.32,80.82,78.44,80.72
2007-09-26T22:00:00Z,80.63,83.09,80.5,82.94
2007-09-27T22:00:00Z,83.25,83.76,81.39,81.79
2007-09-30T22:00:00Z,81.75,82.02,79.45,80.24
2007-10-01T22:00:00Z,80.22,80.43,78.87,80.32
2007-10-02T22:00:00Z,80.23,80.88,79.57,79.94
2007-10-03T22:00:00Z,79.68,81.75,78.91,81.44
2007-10-04T22:00:00Z,81.4,81.68,80.51,80.96
2007-10-07T22:00:00Z,81.11,81.11,78.35,79.02
2007-10-08T22:00:00Z,79.26,81.1,78.39,80.26
2007-10-09T22:00:00Z,80.22,81.35,79.72,81.3
2007-10-10T22:00:00Z,81.32,83.67,81.25,83.08
2007-10-11T22:00:00Z,82.87,84.05,82.69,83.77
2007-10-14T22:00:00Z,83.91,86.71,83.5,86.13
2007-10-15T22:00:00Z,86.5,88.2,86.13,87.61
2007-10-16T22:00:00Z,87.5,89,86.91,87.4
2007-10-17T22:00:00Z,87.1,89.78,87.1,89.47
2007-10-18T22:00:00Z,89.74,90.07,87.86,88.35
2007-10-21T22:00:00Z,86.75,87,84.73,86.02
2007-10-22T22:00:00Z,85.77,86.79,84.82,85.07
2007-10-23T22:00:00Z,85.17,87.79,84.68,87.7
2007-10-24T22:00:00Z,87.63,90.52,87.54,90.46
2007-10-25T22:00:00Z,90.36,92.22,90.2,91.87
2007-10-28T22:00:00Z,91.72,93.7,91.52,93.53
2007-10-29T22:00:00Z,93.67,93.68,89.53,90.38
2007-10-30T22:00:00Z,89.72,95.28,88.92,94.53
2007-10-31T22:00:00Z,95.15,96.24,92.06,93.49
2007-11-01T22:00:00Z,93.65,96.03,93.05,95.75
2007-11-04T22:00:00Z,95.92,96.12,93.72,94.6
2007-11-05T22:00:00Z,94.46,97.1,94.41,96.9
2007-11-06T22:00:00Z,96.83,98.64,94.62,95.88
2007-11-07T22:00:00Z,95.84,97.7,94.93,95.9
2007-11-08T22:00:00Z,95.91,96.68,94.54,96.2
2007-11-11T22:00:00Z,96.01,96.35,93.54,93.62
2007-11-12T22:00:00Z,93.59,94.7,90.13,91.4
2007-11-13T22:00:00Z,91.35,94.37,91.21,94
2007-11-14T22:00:00Z,93.95,94.64,91.86,93.75
