time,open,high,low,close,Volume,Volume MA
2014-10-03T21:00:00-03:00,358.71,365.07,322.04,326.21,28968,15768.500000000024
2014-10-04T21:00:00-03:00,326.24,339.43,275,323.52,61700,18543.750000000022
2014-10-05T21:00:00-03:00,322.82,347,295.89,328.59,69530,21725.400000000023
2014-10-06T21:00:00-03:00,328.56,336.99,312.37,334.8,22950,22251.200000000023
2014-10-07T21:00:00-03:00,334.8,359,326.93,355.73,28573,22579.200000000023
2014-10-08T21:00:00-03:00,355.73,395.55,349,364.01,47809,23483.900000000023
2014-10-09T21:00:00-03:00,364.01,380.08,351.1,360.89,20519,23515.000000000022
2014-10-10T21:00:00-03:00,360.85,368.06,352.1,362,9954,23305.250000000022
2014-10-11T21:00:00-03:00,362.77,383.6,354.71,378.11,14234,23479.700000000023
2014-10-12T21:00:00-03:00,378.48,405,368.07,392.6,26049,23433.600000000024
2014-10-13T21:00:00-03:00,392.99,417.99,390.48,403.38,24792,23968.900000000023
2014-10-14T21:00:00-03:00,402.01,404.32,385.92,394.52,19113,24174.300000000025
2014-10-15T21:00:00-03:00,394.52,399,370.1,383.95,22735,24822.950000000023
2014-10-16T21:00:00-03:00,384.19,386,370.96,383.65,10486,25074.750000000022
2014-10-17T21:00:00-03:00,383.2,397.29,377,390.58,7046,24620.700000000023
2014-10-18T21:00:00-03:00,390.59,394.25,385,387.53,3208,23780.450000000023
2014-10-19T22:00:00-02:00,389.06,390.65,376.2,381.21,12041,23671.100000000024
2014-10-20T22:00:00-02:00,381,393.52,378.98,385.81,7703,23406.700000000023
2014-10-21T22:00:00-02:00,385.79,388.87,380,382.04,8291,23303.350000000024
2014-10-22T22:00:00-02:00,382.05,384.55,352.4,357.18,20995,23334.800000000025
2014-10-23T22:00:00-02:00,356.81,363.71,344.34,358.86,15600,22666.400000000023
2014-10-24T22:00:00-02:00,358.78,359.1,341.22,348.69,11069,20134.850000000024
2014-10-25T22:00:00-02:00,348.69,363,344.5,355.18,7835,17050.100000000024
2014-10-26T22:00:00-02:00,355.19,358.65,349.21,350,9540.67167756,16379.633583878025
2014-10-27T22:00:00-02:00,351.03,357.7,350.09,355.2,2740.941802,15088.030673978024
2014-10-28T22:00:00-02:00,355.71,355.99,333.33,335.7,13057.18043145,13350.439695550525
2014-10-29T22:00:00-02:00,336.37,352.83,332.99,346.14,14118.76518664,13030.427954882525
2014-10-30T22:00:00-02:00,346.14,347.96,335.5,337.99,7525.75724524,12909.015817144525
2014-10-31T22:00:00-02:00,337.99,339.47,316.61,324.7,14970.5578556,12945.843709924524
2014-11-01T22:00:00-02:00,324.55,329,318.24,324.36,8335.41686172,12060.164553010525
2014-11-02T22:00:00-02:00,324.23,333.99,322.74,325.5,11236,11382.364553010524
2014-11-03T22:00:00-02:00,326.45,332.9,320,330.22,13671,11110.264553010526
2014-11-04T22:00:00-02:00,329.96,344.17,328.8,338.38,15339,10740.464553010524
2014-11-05T22:00:00-02:00,338.37,353.1,336.27,349.99,14261,10929.214553010524
2014-11-06T22:00:00-02:00,349.99,352.15,340.4,342.16,7208,10937.314553010525
2014-11-07T22:00:00-02:00,342.16,347.75,340.6,345.39,3751,10964.464553010524
2014-11-08T22:00:00-02:00,346.19,366.35,343.4,364.77,10492,10887.014553010526
2014-11-09T22:00:00-02:00,365.37,377.77,357.3,366.43,19223,11463.014553010526
2014-11-10T22:00:00-02:00,366.43,371.52,360.28,370.65,7661,11431.514553010526
2014-11-11T22:00:00-02:00,370.09,434.8,369.85,426.02,44038,12583.664553010525
2014-11-12T22:00:00-02:00,426.63,453.92,381.55,420.93,49826,14294.964553010524
2014-11-13T22:00:00-02:00,417.85,420.3,382.95,399.98,21636,14823.314553010525
2014-11-14T22:00:00-02:00,399.97,407.22,369,376.99,14413,15152.214553010524
2014-11-15T22:00:00-02:00,376.97,395,375,389.86,9643,15157.330969132523
2014-11-16T22:00:00-02:00,389.86,415,375,387.69,24284,16234.483879032525
2014-11-17T22:00:00-02:00,388.72,394.64,371,374.88,15191,16341.174857460024
2014-11-18T22:00:00-02:00,374.87,386.39,371.7,379.03,8935,16081.986598128022
2014-11-19T22:00:00-02:00,379.04,381.8,351.8,356.47,16351,16523.248735866022
2014-11-20T22:00:00-02:00,356.47,358.49,342.05,351.2,15239,16536.670843086024
2014-11-21T22:00:00-02:00,351.19,365.93,350.7,353.12,6658,16452.800000000025
2014-11-22T22:00:00-02:00,354.29,373.5,353.01,367.17,7936,16287.800000000023
2014-11-23T22:00:00-02:00,367.17,389.99,366.67,375.99,19055,16557.000000000022
2014-11-24T22:00:00-02:00,375.99,395.11,374.31,377.37,16138,16596.950000000023
2014-11-25T22:00:00-02:00,377.05,379.22,363.38,368.5,12990,16533.400000000023
2014-11-26T22:00:00-02:00,368.5,375.33,366.37,369.98,6126,16479.300000000025
2014-11-27T22:00:00-02:00,369.98,381.34,358,376.86,13743,16978.900000000023
2014-11-28T22:00:00-02:00,376,386.6,372.25,375.49,7238,16816.200000000023
2014-11-29T22:00:00-02:00,375.48,381.99,373.32,377.01,3045,16007.300000000023
2014-11-30T22:00:00-02:00,376.09,382.31,373.03,376.53,6913,15969.900000000023
2014-12-01T22:00:00-02:00,376.53,382.86,375.23,379.52,6534,14094.700000000023
2014-12-02T22:00:00-02:00,379.52,383,374.01,375.33,8435,12025.150000000023
2014-12-03T22:00:00-02:00,376.61,378.99,360,369.16,12307,11558.700000000023
2014-12-04T22:00:00-02:00,369.89,377.89,365.61,376,8578,11266.950000000023
2014-12-05T22:00:00-02:00,376,376.99,371.31,374.38,2361,10902.850000000024
2014-12-06T22:00:00-02:00,375.05,377.5,373.16,377.26,2464,9811.850000000024
2014-12-07T22:00:00-02:00,376.03,377.26,359.01,361.3,11947,9649.650000000023
2014-12-08T22:00:00-02:00,362.74,364.59,343.97,352.03,18936,10149.700000000023
2014-12-09T22:00:00-02:00,352.02,353.74,345,345.21,6926,9678.450000000023
2014-12-10T22:00:00-02:00,345.22,364.43,339.8,348.9,16135,9723.250000000024
2014-12-11T22:00:00-02:00,348.88,358.59,348,352.24,8051,9792.900000000023
2014-12-12T22:00:00-02:00,353.33,354.41,347.03,351.67,3812,9586.700000000023
2014-12-13T22:00:00-02:00,351.67,359.3,347.44,356.52,6519,8959.900000000023
