time,open,high,low,close,Shapes,Shapes,Jaw,Teeth,Lips,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,%R,CCI Turbo Histogram,CCI Turbo,CCI 14
2011-08-18T00:00:00Z,10.9,10.9,10.9,10.9,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08-19T00:00:00Z,11.85,11.85,11.15,11.69,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08-20T00:00:00Z,11.7,11.7,11.7,11.7,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08-21T00:00:00Z,11.7,11.7,11.7,11.7,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08-22T00:00:00Z,11.7,11.7,11.7,11.7,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08-24T00:00:00Z,11.5,11.5,10.5,10.5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-130.07518796992503,NaN
2011-08-25T00:00:00Z,10,10,10,10,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-125.9067357512951,NaN
2011-08-30T00:00:00Z,8,8,8,8,0,0,NaN,NaN,11.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-157.57575757575762,NaN
2011-09-01T00:00:00Z,8,8.31,5.25,8.22,1,0,NaN,NaN,11.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-93.74999999999999,NaN
2011-09-02T00:00:00Z,8.12,8.88,8,8.88,0,0,NaN,NaN,11.120000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-37.74647887323935,NaN
2011-09-04T00:00:00Z,8.89,8.89,8.89,8.89,0,1,NaN,NaN,10.496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-16.40513552068458,NaN
2011-09-06T00:00:00Z,8,8,8,8,0,0,NaN,NaN,9.7528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.92957746478862,NaN
2011-09-07T00:00:00Z,8.5,8.5,8.5,8.5,0,0,NaN,10.8125,9.49024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.58536585365835,NaN
2011-09-08T00:00:00Z,7.98,7.98,7.4,7.4,0,0,NaN,10.3084375,9.370192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-67.42424242424242,-106.6666666666667,-138.11320754716968,-106.6666666666667
2011-09-13T00:00:00Z,5.8,6,5.65,5.97,0,0,NaN,10.0748828125,9.0961536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-89.0909090909091,-143.0738162756725,-156.97211155378466,-143.0738162756725
2011-09-14T00:00:00Z,5.58,5.72,5.52,5.53,0,0,NaN,9.926772460937501,8.97692288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-95.65891472868216,-144.66818724883242,-113.4831460674157,-144.66818724883242
2011-09-15T00:00:00Z,5.12,5.24,5,5.13,0,0,NaN,9.685925903320314,8.719538304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-98.0597014925373,-141.72749391727493,-89.40852819807422,-141.72749391727493
2011-09-16T00:00:00Z,4.82,4.87,4.8,4.85,1,0,NaN,9.537685165405275,8.140630643200002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-99.27536231884059,-132.7384441694349,-80.23255813953482,-132.7384441694349
