time,open,high,low,close,ParabolicSAR,WMA,MA,Smoothing Line,MA №1,MA №2,MA №3,MA №4,EMA,Smoothing Line,New Moon,Full Moon,Median,Upper Band,Lower Band,Median EMA,Plot,Plot,MOM,MF,Histogram,MACD,Signal,NV,OnBalanceVolume,Smoothing Line,Futures Open Interest,Crypto Open Interest (Open),Crypto Open Interest (High,Crypto Open Interest (Low),Crypto Open Interest (Close),OSC,PVT,ROC,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,RVGI,Signal,RVI,RVI-based MA,Upper Bollinger Band,Lower Bollinger Band,Relative Volume Ratio
2011-08-18T00:00:00Z,10.9,10.9,10.9,10.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2011-08-19T00:00:00Z,11.85,11.85,11.15,11.69,10.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.92657814,1.92657814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1396327275779815,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,3.932528388070044
2011-08-20T00:00:00Z,11.7,11.7,11.7,11.7,10.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08547009,2.01204823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13970584142742548,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,0.07073914423851092
2011-08-21T00:00:00Z,11.7,11.7,11.7,11.7,10.919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.01204823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13970584142742548,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,0.10248390450626901
2011-08-22T00:00:00Z,11.7,11.7,11.7,11.7,10.93762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.7,NaN,NaN,11.633333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.01204823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13970584142742548,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,0.044264042460288866
2011-08-24T00:00:00Z,11.5,11.5,10.5,10.5,11.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.7,NaN,NaN,11.666666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.35652174,-0.3444735099999998,1.523649864,NaN,NaN,NaN,NaN,NaN,NaN,-0.1019886960084718,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,4.503953612943457
2011-08-25T00:00:00Z,10,10,10,10,11.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN,NaN,11.333333333333332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.1,-1.44447351,0.849439534,NaN,NaN,NaN,NaN,NaN,NaN,-0.15436964838942419,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,1.226946634770367
2011-08-30T00:00:00Z,8,8,8,8,11.75008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,10,NaN,NaN,10.666666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-2.44447351,-0.041864814000000014,NaN,NaN,NaN,NaN,NaN,NaN,-0.3543696483894242,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,1.3675795642268438
2011-09-01T00:00:00Z,8,8.31,5.25,8.22,11.5250752,9.903555555555556,10.49,NaN,NaN,NaN,NaN,NaN,10.49,NaN,NaN,NaN,8,NaN,NaN,9.333333333333332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,164.48,162.03552649,31.962830837999995,NaN,NaN,NaN,NaN,NaN,NaN,4.1688303516105885,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,179.9316553761303
2011-09-02T00:00:00Z,8.12,8.88,8,8.88,11.023069184,9.581555555555555,10.265555555555556,NaN,NaN,NaN,NaN,NaN,10.168000000000001,NaN,NaN,NaN,8,NaN,NaN,8.666666666666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.76,241.79552649,79.91952649,NaN,NaN,NaN,NaN,NaN,NaN,10.572917942851465,-18.532110091743114,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,2.360249968802103
2011-09-04T00:00:00Z,8.89,8.89,8.89,8.89,10.56122364928,9.306444444444445,9.954444444444444,NaN,NaN,NaN,NaN,NaN,9.912400000000002,NaN,NaN,NaN,8.440000000000001,NaN,NaN,8.553333333333335,NaN,NaN,-2.01,NaN,NaN,NaN,NaN,0.20022497,241.99575145999998,128.387571484,NaN,NaN,NaN,NaN,NaN,NaN,10.573143421421285,-23.952095808383223,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,0.004025487944084023
2011-09-06T00:00:00Z,8,8,8,8,10.1363257573376,8.915555555555557,9.543333333333333,NaN,NaN,NaN,NaN,NaN,9.52992,NaN,NaN,NaN,8.440000000000001,NaN,NaN,8.496666666666668,NaN,NaN,-3.6899999999999995,NaN,NaN,NaN,NaN,-21,220.99575145999998,172.87561647799998,NaN,NaN,NaN,NaN,NaN,NaN,8.470781216696874,-31.62393162393162,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,0.4258939895620556
2011-09-07T00:00:00Z,8.5,8.5,8.5,8.5,9.745419696750591,8.706888888888889,9.187777777777777,9.888222222222222,NaN,NaN,NaN,NaN,9.323936,9.8848512,NaN,NaN,8.5,NaN,NaN,8.498333333333335,NaN,NaN,-3.1999999999999993,NaN,NaN,NaN,NaN,3,223.99575145999998,218.16366147199997,NaN,NaN,NaN,NaN,NaN,NaN,8.658281216696874,-27.350427350427346,NaN,NaN,NaN,NaN,50,-0.018903591682419243,NaN,NaN,NaN,NaN,NaN,0.056297805639853864
2011-09-08T00:00:00Z,7.98,7.98,7.4,7.4,9.385786121010543,8.349333333333334,8.71,9.532222222222222,NaN,NaN,NaN,NaN,8.9391488,9.57468096,NaN,NaN,8,9.585714285714285,6.414285714285715,8.249166666666667,9.72,NaN,-4.299999999999999,33.597241103114456,NaN,NaN,NaN,-6.86,217.13575145999997,229.18370646599996,NaN,NaN,NaN,NaN,NaN,NaN,7.770516510814522,-36.75213675213674,NaN,NaN,NaN,NaN,50,-0.027813712807244068,NaN,NaN,NaN,NaN,NaN,0.12777518720911984
2011-09-13T00:00:00Z,5.8,6,5.65,5.97,9.054923231329699,7.801333333333333,8.206666666666667,9.120444444444445,NaN,NaN,NaN,NaN,8.34531904,9.210144768000001,0,1,7.69,9.412448979591836,5.967551020408163,7.969583333333334,7.837777471444731,NaN,-5.7299999999999995,28.988081869430587,NaN,NaN,NaN,-58.37138238,158.76436907999997,212.57747498399993,NaN,NaN,NaN,NaN,NaN,NaN,-3.5093587328881846,-43.142857142857146,23.523093447905467,NaN,NaN,NaN,50,-0.053261897258114914,NaN,NaN,NaN,NaN,NaN,2.6336069249002896
2011-09-14T00:00:00Z,5.58,5.72,5.52,5.53,8.750529372823323,7.265999999999999,7.71,8.671555555555555,NaN,NaN,NaN,NaN,7.782255232,8.7841158144,NaN,NaN,5.825,7.488702623906706,4.1612973760932945,6.897291666666668,7.17260068567247,NaN,-4.97,24.965630709026243,NaN,NaN,NaN,-61.14598362,97.61838545999996,183.70200178399995,NaN,NaN,NaN,NaN,NaN,NaN,-8.015930389973608,-44.7,22.383835207170378,NaN,NaN,NaN,50,-0.0475754803293683,-0.03810504869041759,NaN,NaN,NaN,NaN,3.4185891001991475
2011-09-15T00:00:00Z,5.12,5.24,5,5.13,8.470487022997457,6.75,7.391111111111111,8.241111111111111,NaN,NaN,NaN,NaN,7.2518041856,8.32849265152,NaN,NaN,5.619999999999999,7.240581007913368,3.9994189920866297,6.2586458333333335,6.615039425768345,NaN,-4.87,21.80420173079392,NaN,NaN,NaN,-80.1407952,17.477590259999957,142.99836954399996,NaN,NaN,NaN,NaN,NaN,NaN,-13.812732936085728,-35.875,21.37054166883196,NaN,NaN,NaN,50,0.0033628859675943965,-0.03768759700243602,NaN,NaN,NaN,NaN,2.6646561690673582
2011-09-16T00:00:00Z,4.82,4.87,4.8,4.85,8.12343832069771,6.241777777777778,7.016666666666667,7.806888888888888,NaN,NaN,NaN,NaN,6.77144334848,7.8179941212160005,NaN,NaN,5.12,6.6719680787767,3.5680319212233,5.689322916666667,6.178735452130244,NaN,-3.1500000000000004,20.586554400851057,NaN,NaN,NaN,-39.9140068,-22.436416540000046,93.71193594399995,NaN,NaN,NaN,NaN,NaN,NaN,-15.991275217567212,-40.99756690997568,20.66532002613107,NaN,NaN,NaN,50,0.06966572945954423,-0.012003559420353083,NaN,NaN,NaN,NaN,0.9525190220121119
2011-09-17T00:00:00Z,4.87,4.87,4.87,4.87,7.724625722213985,5.812444444444444,6.571111111111111,7.37911111111111,NaN,NaN,NaN,NaN,6.391154678784,7.3083952969728,NaN,NaN,4.87,6.313970358864079,3.426029641135921,5.279661458333333,5.936517465277899,NaN,-3.3500000000000005,20.62007961152571,NaN,NaN,NaN,0.3,-22.136416540000045,45.85750234399994,NaN,NaN,NaN,NaN,NaN,NaN,-15.99003810416515,-45.15765765765766,20.866196367806225,NaN,NaN,NaN,50,0.1056656239137994,0.03402456240645139,NaN,NaN,NaN,NaN,0.0060868676852284965
2011-09-18T00:00:00Z,4.87,4.92,4.81,4.92,7.373670635548307,5.482222222222222,6.129999999999999,6.963777777777776,8.3675,NaN,NaN,NaN,6.0969237430272,6.858716237578241,NaN,NaN,4.865,6.2215439046595025,3.508456095340498,5.072330729166667,5.782612228469845,NaN,-3.960000000000001,32.303327909149644,NaN,NaN,NaN,119.8128,97.67638345999995,33.639905219999946,NaN,NaN,NaN,NaN,NaN,NaN,-14.759927221208276,-44.65691788526435,21.401995405010936,NaN,NaN,NaN,50,0.088050314465409,0.07367931786328176,51.70986312354158,NaN,NaN,NaN,2.4974302145799587
2011-09-19T00:00:00Z,4.9,4.9,4.9,4.9,7.0648301592825105,5.236222222222222,5.785555555555555,6.578888888888886,8.067499999999999,NaN,NaN,NaN,5.85753899442176,6.473772990062592,NaN,NaN,4.87,6.13250505432668,3.6074949456733196,4.971165364583333,5.660332668969109,NaN,-3.99,34.00506986573822,NaN,NaN,NaN,-20,77.67638345999995,29.651504819999957,NaN,NaN,NaN,NaN,NaN,-26.765166908563142,-14.841228034216405,-38.74999999999999,21.339754773993207,NaN,NaN,NaN,50,0.008861622358554871,0.07765987142941931,44.07479724018552,NaN,NaN,NaN,0.3318801566621508
2011-09-20T00:00:00Z,4.92,5.66,4.92,5.66,6.793050540168609,5.211111111111111,5.469999999999999,6.194666666666665,7.766,NaN,NaN,NaN,5.818031195537408,6.187018392050073,NaN,NaN,4.9,6.180897550446204,3.619102449553797,4.935582682291667,5.660308901312891,NaN,-2.34,41.024571911482354,NaN,NaN,NaN,89.28071068,166.95709413999995,59.547405595999955,NaN,NaN,NaN,NaN,NaN,-27.409735943955443,-0.9936076022164109,-33.411764705882355,29.70558112149284,NaN,NaN,NaN,50,-0.07123034227567102,0.03804319254767602,51.297761631908635,NaN,NaN,NaN,1.715830679793866
2011-09-21T00:00:00Z,5.7,5.79,5.66,5.66,6.553884475348376,5.2491111111111115,5.2766666666666655,5.846666666666664,7.464,NaN,NaN,NaN,5.786424956429927,5.9900147136400586,NaN,NaN,5.29,6.497976296842903,4.082023703157097,5.112791341145833,5.660286832116244,NaN,-2.84,56.764710304061104,NaN,NaN,NaN,0,166.95709413999995,97.42610773199995,NaN,NaN,NaN,NaN,NaN,-28.395452851285874,-0.9936076022164109,-23.513513513513516,29.70558112149284,NaN,NaN,NaN,50,-0.0034334763948502345,-0.006686766960612256,46.86887992068997,NaN,NaN,NaN,0.327308397198924
2011-09-22T00:00:00Z,5.68,5.72,5.68,5.72,6.343418338306571,5.337777777777777,5.248888888888889,5.58222222222222,7.165000000000001,NaN,NaN,NaN,5.773139965143941,5.866411770912047,NaN,NaN,5.699999999999999,6.830263704211266,4.569736295788733,5.406395670572916,5.664376722973355,NaN,-1.6800000000000006,50.60584518123174,NaN,NaN,NaN,43.77842238,210.73551651999995,144.00049434399995,NaN,NaN,NaN,NaN,NaN,-27.909032258064524,-0.529525386174011,-4.1876046901172534,30.383492318911863,NaN,NaN,NaN,50,0.15408560311284003,0.0022699313550587313,49.61268368259532,NaN,NaN,NaN,0.8861209678007084
2011-09-23T00:00:00Z,5.7,5.72,5.7,5.72,6.158208137709782,5.432,5.27,5.41022222222222,6.866,NaN,NaN,NaN,5.762511972115153,5.799529416729637,NaN,NaN,5.71,6.762387725339034,4.657612274660966,5.5581978352864585,5.6681975109503195,NaN,-0.25,52.418905216001434,NaN,NaN,NaN,0,210.73551651999995,166.61232095599993,NaN,NaN,NaN,NaN,NaN,-25.36840692524493,-0.529525386174011,3.435804701627477,30.383492318911863,NaN,NaN,NaN,50,0.2998392282958194,0.0883188565760213,47.046733228808215,NaN,NaN,NaN,0.3559371331920328
2011-09-24T00:00:00Z,5.7,5.76,5.68,5.68,5.995223161184608,5.514,5.33111111111111,5.319333333333331,6.625,NaN,NaN,NaN,5.7460095776921225,5.77722353338371,NaN,NaN,5.71,6.698645744957674,4.721354255042326,5.634098917643229,5.6690335607126725,7.216387142417844,0.14999999999999947,47.22144630963681,NaN,-1.712751762473344,NaN,-90.58706633,120.14845018999995,175.10673430199995,NaN,NaN,NaN,NaN,NaN,-22.006293706293707,-1.16300137449569,10.721247563352824,30.158617154258977,NaN,NaN,NaN,50,0.4351073762838461,0.2232539271177191,44.31707854205193,NaN,NaN,NaN,2.366822909689304
2011-09-25T00:00:00Z,6.05,6.05,6.05,6.05,4.8,5.657777777777778,5.464444444444442,5.31822222222222,6.427499999999999,NaN,NaN,NaN,5.806807662153698,5.774978826706968,NaN,NaN,5.72,6.690885334603554,4.749114665396445,5.677049458821614,5.690012005860569,7.045111126675561,0.9199999999999999,47.937894582606084,NaN,-1.5823788198355428,NaN,12.22,132.36845018999995,168.18900551199994,NaN,NaN,NaN,NaN,NaN,-18.106820642367357,-0.3669802477351263,24.742268041237118,34.954283107138565,NaN,NaN,NaN,50,0.5570321151716489,0.3635018212406366,48.25250255371946,NaN,NaN,NaN,0.2332456708733682
